"Parasite.species","host_record_lcdb_nhm","host_sp_no_subsp","host_genus_lcdb_nhm","best_host_name"
"Heterakis spumosa","Eothenomys andersoni","Eothenomys andersoni","Eothenomys","Eothenomys andersoni"
"Heterakis spumosa","Eothenomys niigatae","Eothenomys niigatae","Eothenomys","Eothenomys niigatae"
"Heterakis spumosa","Eothenomys smithi","Eothenomys smithi","Eothenomys","Eothenomys smithi"
"Heterakis spumosa","Hydromys chrysogaster","Hydromys chrysogaster","Hydromys","Hydromys chrysogaster"
"Heterakis spumosa","Isoodon macrourus","Isoodon macrourus","Isoodon","Isoodon macrourus"
"Heterakis spumosa","Lemniscomys striatus","Lemniscomys striatus","Lemniscomys","Lemniscomys striatus"
"Heterakis spumosa","Mastomys natalensis","Mastomys natalensis","Mastomys","Mastomys natalensis"
"Heterakis spumosa","Microtus sp.","Microtus sp.","Microtus","Microtus sp."
"Heterakis spumosa","Microtus montebelli","Microtus montebelli","Microtus","Microtus montebelli"
"Heterakis spumosa","Mogera kobeae","Mogera kobeae","Mogera","Mogera wogura"
"Heterakis spumosa","Mus sp.","Mus sp.","Mus","Mus sp."
"Heterakis spumosa","Mus decumanus","Mus decumanus","Mus","Rattus norvegicus"
"Heterakis spumosa","Mus spretus","Mus spretus","Mus","Mus spretus"
"Heterakis spumosa","Proechimys dimidiatus","Proechimys dimidiatus","Proechimys","Trinomys dimidiatus"
"Heterakis spumosa","Rattus sp.","Rattus sp.","Rattus","Rattus sp."
"Heterakis spumosa","Rattus exulans","Rattus exulans","Rattus","Rattus exulans"
"Heterakis spumosa","Rattus fuscipes","Rattus fuscipes","Rattus","Rattus fuscipes"
"Heterakis spumosa","Rattus lutreolus","Rattus lutreolus","Rattus","Rattus lutreolus"
"Heterakis spumosa","Rattus sordidus","Rattus sordidus","Rattus","Rattus sordidus"
"Heterakis spumosa","Tatera indica indica","Tatera indica","Tatera","Tatera indica"
"Hexametra boddaertii","Crotalus atrox","Crotalus atrox","Crotalus","Crotalus atrox"
"Hexametra boddaertii","Mabuya frenata","Mabuya frenata","Mabuya","Notomabuya frenata"
"Hexametra quadricornis","Causus rhombeatus","Causus rhombeatus","Causus","Causus rhombeatus"
"Hexametra quadricornis","Coluber jugularis","Coluber jugularis","Coluber","Dolichophis jugularis"
"Hexametra quadricornis","Coluber najadum","Coluber najadum","Coluber","Platyceps najadum"
"Hexametra quadricornis","Dinodon semicarinatus","Dinodon semicarinatus","Dinodon","Lycodon semicarinatus"
"Hexametra quadricornis","Lamprophis fuliginosus","Lamprophis fuliginosus","Lamprophis","Boaedon fuliginosus"
"Hexametra quadricornis","Malpolon monospessulanus","Malpolon monospessulanus","Malpolon","Malpolon monspessulanus"
"Hexametra quadricornis","Naja melanoleuca","Naja melanoleuca","Naja","Naja melanoleuca"
"Hexametra quadricornis","Natrix piscator","Natrix piscator","Natrix","Natrix piscator"
"Hexametra quadricornis","Psammophis subtaeniatus","Psammophis subtaeniatus","Psammophis","Psammophis subtaeniatus"
"Hexametra quadricornis","Pseudoaspis cana","Pseudoaspis cana","Pseudoaspis","Pseudaspis cana"
"Hexametra quadricornis","Python sebae","Python sebae","Python","Python sebae"
"Hexametra quadricornis","Rhabdophis tigrina","Rhabdophis tigrina","Rhabdophis","Rhabdophis tigrinus"
"Hexametra quadricornis","Telescopus fallax","Telescopus fallax","Telescopus","Telescopus fallax"
"Hexametra quadricornis","Trimeresurus flavoviridis","Trimeresurus flavoviridis","Trimeresurus","Protobothrops flavoviridis"
"Hexametra quadricornis","Trimeresurus okinavensis","Trimeresurus okinavensis","Trimeresurus","Ovophis okinavensis"
"Huffmanela huffmani","Lepomis gulosus","Lepomis gulosus","Lepomis","Lepomis gulosus"
"Huffmanela huffmani","Lepomis megalotis","Lepomis megalotis","Lepomis","Lepomis megalotis"
"Huffmanela huffmani","Lepomis sp.","Lepomis sp.","Lepomis","Lepomis sp."
"Hunterella nodulosa","Catostomus macrocheilus","Catostomus macrocheilus","Catostomus","Catostomus macrocheilus"
"Hymenolepis abortiva","Anas discors","Anas discors","Anas","Anas discors"
"Hymenolepis abortiva","Aythya fuligula","Aythya fuligula","Aythya","Aythya fuligula"
"Hymenolepis abortiva","Haematopus ostralegus","Haematopus ostralegus","Haematopus","Haematopus ostralegus"
"Hymenolepis abortiva","Mergus serrator","Mergus serrator","Mergus","Mergus serrator"
"Hymenolepis abortiva","Oidemia fusca","Oidemia fusca","Oidemia","Oidemia fusca"
"Hymenolepis abortiva","Recurvirostra americana","Recurvirostra americana","Recurvirostra","Recurvirostra americana"
"Hymenolepis abortiva","Spatula clypeata","Spatula clypeata","Spatula","Spatula clypeata"
"Hymenolepis cantaniana","Colinus sp.","Colinus sp.","Colinus","Colinus sp."
"Hymenolepis cantaniana","Coturnix sp.","Coturnix sp.","Coturnix","Coturnix sp."
"Hymenolepis cantaniana","Gallus gallus domesticus","Gallus gallus","Gallus","Gallus gallus"
"Hymenolepis cantaniana","Meleagris gallopavo","Meleagris gallopavo","Meleagris","Meleagris gallopavo"
"Hymenolepis cantaniana","Numida sp.","Numida sp.","Numida","Numida sp."
"Hymenolepis cantaniana","Onthophagus quadricentatus","Onthophagus quadricentatus","Onthophagus","Onthophagus quadridentatus"
"Hymenolepis cantaniana","Pavo sp.","Pavo sp.","Pavo","Pavo sp."
"Hymenolepis cantaniana","Perdix sp.","Perdix sp.","Perdix","Perdix sp."
"Hymenolepis cantaniana","Phasianus sp.","Phasianus sp.","Phasianus","Phasianus sp."
"Hymenolepis cantaniana","Tetrao sp.","Tetrao sp.","Tetrao","Tetrao sp."
"Hymenolepis cantaniana","Tetrastes sp.","Tetrastes sp.","Tetrastes","Tetrastes sp."
"Hymenolepis cantaniana","Turnix suscitator","Turnix suscitator","Turnix","Turnix suscitator"
"Hymenolepis carioca","Bonasa umbellus","Bonasa umbellus","Bonasa","Bonasa umbellus"
"Hymenolepis carioca","Colinus virginianus","Colinus virginianus","Colinus","Colinus virginianus"
"Hymenolepis carioca","Coturnix coturnix","Coturnix coturnix","Coturnix","Coturnix coturnix"
"Hymenolepis carioca","Euplocamus leucomelanus","Euplocamus leucomelanus","Euplocamus","Euplocamus leucomelanus"
"Hymenolepis carioca","Gallus sp.","Gallus sp.","Gallus","Gallus sp."
"Hymenolepis carioca","Gallus domesticus","Gallus domesticus","Gallus","Gallus domesticus"
"Hymenolepis carioca","Gallus gallus domesticus","Gallus gallus","Gallus","Gallus gallus"
"Hymenolepis carioca","Meleagris gallopavo","Meleagris gallopavo","Meleagris","Meleagris gallopavo"
"Hymenolepis carioca","Perdix perdix","Perdix perdix","Perdix","Perdix perdix"
"Hymenolepis citelli","Citellus sp.","Citellus sp.","Citellus","Citellus sp."
"Hymenolepis citelli","Cynomys leucurus","Cynomys leucurus","Cynomys","Cynomys leucurus"
"Hymenolepis citelli","Dipodomys sp.","Dipodomys sp.","Dipodomys","Dipodomys sp."
"Hymenolepis citelli","Mesocricetus auratus","Mesocricetus auratus","Mesocricetus","Mesocricetus auratus"
"Hymenolepis citelli","Peromyscus maniculatus","Peromyscus maniculatus","Peromyscus","Peromyscus maniculatus"
"Hymenolepis citelli","Rattus rattus","Rattus rattus","Rattus","Rattus rattus"
"Hymenolepis citelli","Spermophilus elegans","Spermophilus elegans","Spermophilus","Urocitellus elegans"
"Hymenolepis citelli","Spermophilus franklinii","Spermophilus franklinii","Spermophilus","Poliocitellus franklinii"
"Hymenolepis citelli","Spermophilus lateralis lateralis","Spermophilus lateralis","Spermophilus","Callospermophilus lateralis"
"Hymenolepis citelli","Spermophilus richardsonii","Spermophilus richardsonii","Spermophilus","Urocitellus richardsonii"
"Hymenolepis citelli","Spermophilus spilosoma","Spermophilus spilosoma","Spermophilus","Xerospermophilus spilosoma"
"Hymenolepis citelli","Spermophilus townsendii","Spermophilus townsendii","Spermophilus","Urocitellus townsendii"
"Hymenolepis citelli","Spermophilus tridecemlineatus","Spermophilus tridecemlineatus","Spermophilus","Ictidomys tridecemlineatus"
"Hymenolepis citelli","Spermophilus variegatus","Spermophilus variegatus","Spermophilus","Otospermophilus variegatus"
"Hymenolepis diminuta","Akis sp.","Akis sp.","Akis","Akis sp."
"Hymenolepis diminuta","Allactaga elater","Allactaga elater","Allactaga","Allactaga elater"
"Hymenolepis diminuta","Anisolabis arnulipes","Anisolabis arnulipes","Anisolabis","Anisolabis annulipes"
"Hymenolepis diminuta","Apodemus sp.","Apodemus sp.","Apodemus","Apodemus sp."
"Hymenolepis diminuta","Apodemus argenteus","Apodemus argenteus","Apodemus","Apodemus argenteus"
"Hymenolepis diminuta","Apodemus flavicollis","Apodemus flavicollis","Apodemus","Apodemus flavicollis"
"Hymenolepis diminuta","Apodemus microps","Apodemus microps","Apodemus","Apodemus microps"
"Hymenolepis diminuta","Apodemus peninsulae","Apodemus peninsulae","Apodemus","Apodemus peninsulae"
"Hymenolepis diminuta","Apodemus speciosus","Apodemus speciosus","Apodemus","Apodemus speciosus"
"Hymenolepis diminuta","Apodemus sylvaticus","Apodemus sylvaticus","Apodemus","Apodemus sylvaticus"
"Hymenolepis diminuta","Arvicanthis niloticus","Arvicanthis niloticus","Arvicanthis","Arvicanthis niloticus"
"Hymenolepis diminuta","Arvicola terrestris","Arvicola terrestris","Arvicola","Arvicola amphibius"
"Hymenolepis diminuta","Bandicota bengalensis","Bandicota bengalensis","Bandicota","Bandicota bengalensis"
"Hymenolepis diminuta","Bandicota indica","Bandicota indica","Bandicota","Bandicota indica"
"Hymenolepis diminuta","Callosciurus flavimanus","Callosciurus flavimanus","Callosciurus","Callosciurus erythraeus"
"Hymenolepis diminuta","Citellus citellus","Citellus citellus","Citellus","Spermophilus citellus"
"Hymenolepis diminuta","Citellus undulatus","Citellus undulatus","Citellus","Urocitellus undulatus"
"Hymenolepis diminuta","Clethrionomys glareolus","Clethrionomys glareolus","Clethrionomys","Myodes glareolus"
"Hymenolepis diminuta","Clethrionomys rufocanus","Clethrionomys rufocanus","Clethrionomys","Myodes rufocanus"
"Hymenolepis diminuta","Clethrionomys rutilus","Clethrionomys rutilus","Clethrionomys","Myodes rutilus"
"Hymenolepis diminuta","Cricetomys gambianus","Cricetomys gambianus","Cricetomys","Cricetomys gambianus"
"Hymenolepis diminuta","Cricetulus barabensis","Cricetulus barabensis","Cricetulus","Cricetulus barabensis"
"Hymenolepis diminuta","Cricetulus migratorius","Cricetulus migratorius","Cricetulus","Cricetulus migratorius"
"Hymenolepis diminuta","Ctenocephalus canis","Ctenocephalus canis","Ctenocephalus","Ctenocephalus canis"
"Hymenolepis diminuta","Dryomys nitedula","Dryomys nitedula","Dryomys","Dryomys nitedula"
"Hymenolepis diminuta","Eliomys quercinus","Eliomys quercinus","Eliomys","Eliomys quercinus"
"Hymenolepis diminuta","Eutamias sibiricus","Eutamias sibiricus","Eutamias","Eutamias sibiricus"
"Hymenolepis diminuta","Felis catus domesticus","Felis catus","Felis","Felis catus"
"Hymenolepis diminuta","Fontaria virginiensis","Fontaria virginiensis","Fontaria","Fontaria virginiensis"
"Hymenolepis diminuta","Gallus domesticus","Gallus domesticus","Gallus","Gallus domesticus"
"Hymenolepis diminuta","Gerbillus gerbillus","Gerbillus gerbillus","Gerbillus","Gerbillus gerbillus"
"Hymenolepis diminuta","Gerbillus gleadowi","Gerbillus gleadowi","Gerbillus","Gerbillus gleadowi"
"Hymenolepis diminuta","Glis glis","Glis glis","Glis","Glis glis"
"Hymenolepis diminuta","Homo sapiens","Homo sapiens","Homo","Homo sapiens"
"Hymenolepis diminuta","Hydromys chrysogaster","Hydromys chrysogaster","Hydromys","Hydromys chrysogaster"
"Hymenolepis diminuta","Lemniscomys striatus","Lemniscomys striatus","Lemniscomys","Lemniscomys striatus"
"Hymenolepis diminuta","Lophuromys sikapusi","Lophuromys sikapusi","Lophuromys","Lophuromys sikapusi"
"Hymenolepis diminuta","Mastomys natalensis","Mastomys natalensis","Mastomys","Mastomys natalensis"
"Hymenolepis diminuta","Menetes berdmorei","Menetes berdmorei","Menetes","Menetes berdmorei"
"Hymenolepis diminuta","Meriones hurrianae","Meriones hurrianae","Meriones","Meriones hurrianae"
"Hymenolepis diminuta","Meriones persicus","Meriones persicus","Meriones","Meriones persicus"
"Hymenolepis diminuta","Meriones tamariscinus","Meriones tamariscinus","Meriones","Meriones tamariscinus"
"Hymenolepis diminuta","Meriones unguiculatus","Meriones unguiculatus","Meriones","Meriones unguiculatus"
"Hymenolepis diminuta","Micromys minutus","Micromys minutus","Micromys","Micromys minutus"
"Hymenolepis diminuta","Microtus agrestis","Microtus agrestis","Microtus","Microtus agrestis"
"Hymenolepis diminuta","Microtus arvalis","Microtus arvalis","Microtus","Microtus arvalis"
"Hymenolepis diminuta","Microtus fortis","Microtus fortis","Microtus","Microtus fortis"
"Hymenolepis diminuta","Microtus majori","Microtus majori","Microtus","Microtus majori"
"Hymenolepis diminuta","Microtus maximowiczii","Microtus maximowiczii","Microtus","Microtus maximowiczii"
"Hymenolepis diminuta","Microtus minutus","Microtus minutus","Microtus","Microtus minutus"
"Hymenolepis diminuta","Microtus oeconomus","Microtus oeconomus","Microtus","Microtus oeconomus"
"Hymenolepis diminuta","Microtus oeconomus mehelyi","Microtus oeconomus","Microtus","Microtus oeconomus"
"Hymenolepis diminuta","Microtus socialis","Microtus socialis","Microtus","Microtus socialis"
"Hymenolepis diminuta","Microtus subterraneus","Microtus subterraneus","Microtus","Microtus subterraneus"
"Hymenolepis diminuta","Mogera kobeae","Mogera kobeae","Mogera","Mogera wogura"
"Hymenolepis diminuta","Mogera wogura","Mogera wogura","Mogera","Mogera wogura"
"Hymenolepis diminuta","Mus sp.","Mus sp.","Mus","Mus sp."
"Hymenolepis diminuta","Mus caroli","Mus caroli","Mus","Mus caroli"
"Hymenolepis diminuta","Mus domesticus","Mus domesticus","Mus","Mus musculus"
"Hymenolepis diminuta","Mus minutoides","Mus minutoides","Mus","Mus minutoides"
"Hymenolepis diminuta","Musca domestica","Musca domestica","Musca","Musca domestica"
"Hymenolepis diminuta","Muscardinus avellanarius","Muscardinus avellanarius","Muscardinus","Muscardinus avellanarius"
"Hymenolepis diminuta","Neatus picipes","Neatus picipes","Neatus","Neatus picipes"
"Hymenolepis diminuta","Neomys fodiens","Neomys fodiens","Neomys","Neomys fodiens"
"Hymenolepis diminuta","Ondatra zibethica","Ondatra zibethica","Ondatra","Ondatra zibethica"
"Hymenolepis diminuta","Oryzomys palustris","Oryzomys palustris","Oryzomys","Oryzomys palustris"
"Hymenolepis diminuta","Pallasiomys meridianus","Pallasiomys meridianus","Pallasiomys","Pallasiomys meridianus"
"Hymenolepis diminuta","Pavo cristatus","Pavo cristatus","Pavo","Pavo cristatus"
"Hymenolepis diminuta","Periplaneta americana","Periplaneta americana","Periplaneta","Periplaneta americana"
"Hymenolepis diminuta","Peromyscus difficilis","Peromyscus difficilis","Peromyscus","Peromyscus difficilis"
"Hymenolepis diminuta","Phodopus sp.","Phodopus sp.","Phodopus","Phodopus sp."
"Hymenolepis diminuta","Pitymys subterraneus","Pitymys subterraneus","Pitymys","Pitymys subterraneus"
"Hymenolepis diminuta","Pogonomelomys ruemmleri","Pogonomelomys ruemmleri","Pogonomelomys","Pogonomelomys ruemmleri"
"Hymenolepis diminuta","Praomys tullbergi","Praomys tullbergi","Praomys","Praomys tullbergi"
"Hymenolepis diminuta","Rattus sp.","Rattus sp.","Rattus","Rattus sp."
"Hymenolepis diminuta","Rattus argentiventer","Rattus argentiventer","Rattus","Rattus argentiventer"
"Hymenolepis diminuta","Rattus domesticus albus","Rattus domesticus","Rattus","Rattus rattus"
"Hymenolepis diminuta","Rattus exulans","Rattus exulans","Rattus","Rattus exulans"
"Hymenolepis diminuta","Rattus fuscipes","Rattus fuscipes","Rattus","Rattus fuscipes"
"Hymenolepis diminuta","Rattus koratensis","Rattus koratensis","Rattus","Rattus andamanensis"
"Hymenolepis diminuta","Rattus meltada","Rattus meltada","Rattus","Rattus meltada"
"Hymenolepis diminuta","Rattus molliculus","Rattus molliculus","Rattus","Rattus tanezumi"
"Hymenolepis diminuta","Rattus rattus alexandrinus","Rattus rattus","Rattus","Rattus rattus"
"Hymenolepis diminuta","Rattus rattus flavipectus","Rattus rattus","Rattus","Rattus rattus"
"Hymenolepis diminuta","Rattus rattus frugivorus","Rattus rattus","Rattus","Rattus rattus"
"Hymenolepis diminuta","Rattus rattus mindanensis","Rattus rattus","Rattus","Rattus rattus"
"Hymenolepis diminuta","Rattus rattus rufescens","Rattus rattus","Rattus","Rattus rattus"
"Hymenolepis diminuta","Rattus ruber","Rattus ruber","Rattus","Rattus ruber"
"Hymenolepis diminuta","Rattus sordidus","Rattus sordidus","Rattus","Rattus sordidus"
"Hymenolepis diminuta","Rattus surifer","Rattus surifer","Rattus","Rattus surifer"
"Hymenolepis diminuta","Rattus turkestanicus","Rattus turkestanicus","Rattus","Rattus pyctoris"
"Hymenolepis diminuta","Scaurus sp.","Scaurus sp.","Scaurus","Scaurus sp."
"Hymenolepis diminuta","Sicista subtilus","Sicista subtilus","Sicista","Sicista subtilis"
"Hymenolepis diminuta","Sigmodon hispidus","Sigmodon hispidus","Sigmodon","Sigmodon hispidus"
"Hymenolepis diminuta","Spermophilus richardsonii","Spermophilus richardsonii","Spermophilus","Urocitellus richardsonii"
"Hymenolepis diminuta","Suncus caeruleus","Suncus caeruleus","Suncus","Suncus caeruleus"
"Hymenolepis diminuta","Tatera indica indica","Tatera indica","Tatera","Tatera indica"
"Hymenolepis diminuta","Tenebrio sp.","Tenebrio sp.","Tenebrio","Tenebrio sp."
"Hymenolepis diminuta","Thrynomys swinderianus","Thrynomys swinderianus","Thrynomys","Thryonomys swinderianus"
"Hymenolepis diminuta","Tinea granilla","Tinea granilla","Tinea","Nemapogon granella"
"Hymenolepis diminuta","Tribolium castaneum","Tribolium castaneum","Tribolium","Tribolium castaneum"
"Hymenolepis diminuta","Tribolium destructor","Tribolium destructor","Tribolium","Tribolium destructor"
"Hymenolepis pseudodiminuta","Apodemus argenteus","Apodemus argenteus","Apodemus","Apodemus argenteus"
"Hymenolepis pseudodiminuta","Apodemus speciosus","Apodemus speciosus","Apodemus","Apodemus speciosus"
"Hymenolepis pseudodiminuta","Apodemus sp.","Apodemus sp.","Apodemus","Apodemus sp."
"Hymenolepis pseudodiminuta","Rattus norvegicus","Rattus norvegicus","Rattus","Rattus norvegicus"
"Hymenolepis pseudodiminuta","Tribolium confusum","Tribolium confusum","Tribolium","Tribolium confusum"
"Hymenolepis nana","Canis familiaris","Canis familiaris","Canis","Canis lupus"
"Hymenolepis nana","Conocephalus chinensis","Conocephalus chinensis","Conocephalus","Conocephalus chinensis"
"Hymenolepis nana","Cricetomys gambianus","Cricetomys gambianus","Cricetomys","Cricetomys gambianus"
"Hymenolepis nana","Crocidura russula","Crocidura russula","Crocidura","Crocidura russula"
"Hymenolepis nana","Cynomys ludovicianus","Cynomys ludovicianus","Cynomys","Cynomys ludovicianus"
"Hymenolepis nana","Felis catus","Felis catus","Felis","Felis catus"
"Hymenolepis nana","Felis catus domesticus","Felis catus","Felis","Felis catus"
"Hymenolepis nana","Meriones sp.","Meriones sp.","Meriones","Meriones sp."
"Hymenolepis nana","Meriones libycus erythrourus","Meriones libycus","Meriones","Meriones libycus"
"Hymenolepis nana","Micromys minutus","Micromys minutus","Micromys","Micromys minutus"
"Hymenolepis nana","Microtus fortis","Microtus fortis","Microtus","Microtus fortis"
"Hymenolepis nana","Mus sp.","Mus sp.","Mus","Mus sp."
"Hymenolepis nana","Musca domestica","Musca domestica","Musca","Musca domestica"
"Hymenolepis nana","Mustela sp.","Mustela sp.","Mustela","Mustela sp."
"Hymenolepis nana","Papio hamadryas arabicus","Papio hamadryas","Papio","Papio hamadryas"
"Hymenolepis nana","Peromyscus gossypinus","Peromyscus gossypinus","Peromyscus","Peromyscus gossypinus"
"Hymenolepis nana","Peromyscus polionotus","Peromyscus polionotus","Peromyscus","Peromyscus polionotus"
"Hymenolepis nana","Podomys floridanus","Podomys floridanus","Podomys","Podomys floridanus"
"Hymenolepis nana","Rattus sp.","Rattus sp.","Rattus","Rattus sp."
"Hymenolepis nana","Rattus exulans","Rattus exulans","Rattus","Rattus exulans"
"Hymenolepis nana","Rattus rattus alexandrinus","Rattus rattus","Rattus","Rattus rattus"
"Hymenolepis nana","Rattus rattus frugivorus","Rattus rattus","Rattus","Rattus rattus"
"Hymenolepis nana","Rhabdomys pumilio","Rhabdomys pumilio","Rhabdomys","Rhabdomys pumilio"
"Hymenolepis nana","Suncus caeruleus","Suncus caeruleus","Suncus","Suncus caeruleus"
"Hymenolepis nana","Tatera sp.","Tatera sp.","Tatera","Tatera sp."
"Hymenolepis nana","Tatera indica indica","Tatera indica","Tatera","Tatera indica"
"Hymenolepis tenerrima","Aythya affinis","Aythya affinis","Aythya","Aythya affinis"
"Hymenolepis tenerrima","Fuligula cristata","Fuligula cristata","Fuligula","Fuligula cristata"
"Hymenolepis tenerrima","Nyroca marila","Nyroca marila","Nyroca","Nyroca marila"
"Hyostrongylus rubidus","Bos taurus","Bos taurus","Bos","Bos taurus"
"Hyostrongylus rubidus","Cephalophus natalensis","Cephalophus natalensis","Cephalophus","Cephalophus natalensis"
"Hyostrongylus rubidus","Ovis aries","Ovis aries","Ovis","Ovis aries"
"Hyostrongylus rubidus","Sus scrofa domestica","Sus scrofa","Sus","Sus scrofa"
"Hyostrongylus rubidus","Tayassu albirostris","Tayassu albirostris","Tayassu","Tayassu pecari"
"Hysterothylacium aduncum","Acartia sp.","Acartia sp.","Acartia","Acartia sp."
"Hysterothylacium aduncum","Acipenser gueldenstaedti","Acipenser gueldenstaedti","Acipenser","Acipenser gueldenstaedtii"
"Hysterothylacium aduncum","Agonus cataphractus","Agonus cataphractus","Agonus","Agonus cataphractus"
"Hysterothylacium aduncum","Alepocephalus agassizi","Alepocephalus agassizi","Alepocephalus","Alepocephalus agassizii"
"Hysterothylacium aduncum","Alosa alosa","Alosa alosa","Alosa","Alosa alosa"
"Hysterothylacium aduncum","Alosa fallax","Alosa fallax","Alosa","Alosa fallax"
"Hysterothylacium aduncum","Alosa finta","Alosa finta","Alosa","Alosa agone"
"Hysterothylacium aduncum","Alosa kessleri pontica","Alosa kessleri","Alosa","Alosa kessleri"
"Hysterothylacium aduncum","Alosa pontica","Alosa pontica","Alosa","Alosa pontica"
"Hysterothylacium aduncum","Alosa sapidissima","Alosa sapidissima","Alosa","Alosa sapidissima"
"Hysterothylacium aduncum","Ammodytes tobianus","Ammodytes tobianus","Ammodytes","Ammodytes tobianus"
"Hysterothylacium aduncum","Anarhichas denticulatus","Anarhichas denticulatus","Anarhichas","Anarhichas denticulatus"
"Hysterothylacium aduncum","Anarhichas lupus","Anarhichas lupus","Anarhichas","Anarhichas lupus"
"Hysterothylacium aduncum","Anguilla sp.","Anguilla sp.","Anguilla","Anguilla sp."
"Hysterothylacium aduncum","Anoplopoma fimbria","Anoplopoma fimbria","Anoplopoma","Anoplopoma fimbria"
"Hysterothylacium aduncum","Argentina silus","Argentina silus","Argentina","Argentina silus"
"Hysterothylacium aduncum","Arnoglossus laterna","Arnoglossus laterna","Arnoglossus","Arnoglossus laterna"
"Hysterothylacium aduncum","Arnoglossus rueppelli","Arnoglossus rueppelli","Arnoglossus","Arnoglossus rueppelii"
"Hysterothylacium aduncum","Artediellus atlanticus","Artediellus atlanticus","Artediellus","Artediellus atlanticus"
"Hysterothylacium aduncum","Aspitrigla obscura","Aspitrigla obscura","Aspitrigla","Aspitrigla obscura"
"Hysterothylacium aduncum","Atheresthes stomias","Atheresthes stomias","Atheresthes","Atheresthes stomias"
"Hysterothylacium aduncum","Atherina boyeri","Atherina boyeri","Atherina","Atherina boyeri"
"Hysterothylacium aduncum","Atherina hepsetus","Atherina hepsetus","Atherina","Atherina hepsetus"
"Hysterothylacium aduncum","Atherina mochon pontica","Atherina mochon","Atherina","Atherina boyeri"
"Hysterothylacium aduncum","Austromegabalanicus psittacus","Austromegabalanicus psittacus","Austromegabalanicus","Austromegabalanus psittacus"
"Hysterothylacium aduncum","Auxis thazard","Auxis thazard","Auxis","Auxis thazard"
"Hysterothylacium aduncum","Balaenoptera acutorostrata","Balaenoptera acutorostrata","Balaenoptera","Balaenoptera acutorostrata"
"Hysterothylacium aduncum","Bassanago bulbiceps","Bassanago bulbiceps","Bassanago","Bassanago bulbiceps"
"Hysterothylacium aduncum","Bathysaurus ferox","Bathysaurus ferox","Bathysaurus","Bathysaurus ferox"
"Hysterothylacium aduncum","Belone belone","Belone belone","Belone","Belone belone"
"Hysterothylacium aduncum","Belone belone euxini","Belone belone","Belone","Belone belone"
"Hysterothylacium aduncum","Beroe ovata","Beroe ovata","Beroe","Beroe ovata"
"Hysterothylacium aduncum","Boops boops","Boops boops","Boops","Boops boops"
"Hysterothylacium aduncum","Boreogadus saida","Boreogadus saida","Boreogadus","Boreogadus saida"
"Hysterothylacium aduncum","Brama japonica","Brama japonica","Brama","Brama japonica"
"Hysterothylacium aduncum","Brosme brosme","Brosme brosme","Brosme","Brosme brosme"
"Hysterothylacium aduncum","Buglossidium luteum","Buglossidium luteum","Buglossidium","Buglossidium luteum"
"Hysterothylacium aduncum","Callionymus lyra","Callionymus lyra","Callionymus","Callionymus lyra"
"Hysterothylacium aduncum","Caranx dentex","Caranx dentex","Caranx","Pseudocaranx dentex"
"Hysterothylacium aduncum","Caranx georgianus","Caranx georgianus","Caranx","Pseudocaranx dentex"
"Hysterothylacium aduncum","Cepola rubescens","Cepola rubescens","Cepola","Cepola macrophthalma"
"Hysterothylacium aduncum","Chaenogobius laevis","Chaenogobius laevis","Chaenogobius","Chaenogobius laevis"
"Hysterothylacium aduncum","Chaenogobius urotaenia","Chaenogobius urotaenia","Chaenogobius","Gymnogobius urotaenia"
"Hysterothylacium aduncum","Chlorophthalmus nigripinnis","Chlorophthalmus nigripinnis","Chlorophthalmus","Chlorophthalmus nigripinnis"
"Hysterothylacium aduncum","Ciliata mustela","Ciliata mustela","Ciliata","Ciliata mustela"
"Hysterothylacium aduncum","Citharus linguatula","Citharus linguatula","Citharus","Citharus linguatula"
"Hysterothylacium aduncum","Citharus macrolepidotus","Citharus macrolepidotus","Citharus","Citharus linguatula"
"Hysterothylacium aduncum","Cleisthenes pinetorum herzensteini","Cleisthenes pinetorum","Cleisthenes","Cleisthenes pinetorum"
"Hysterothylacium aduncum","Clupea allosa","Clupea allosa","Clupea","Clupea alosa"
"Hysterothylacium aduncum","Clupea pallasi","Clupea pallasi","Clupea","Clupea pallasii"
"Hysterothylacium aduncum","Clupea pallasi suworowi","Clupea pallasi","Clupea","Clupea pallasii"
"Hysterothylacium aduncum","Clupeonella cultiventris","Clupeonella cultiventris","Clupeonella","Clupeonella cultriventris"
"Hysterothylacium aduncum","Conger conger","Conger conger","Conger","Conger conger"
"Hysterothylacium aduncum","Coregonus lavaretus","Coregonus lavaretus","Coregonus","Coregonus lavaretus"
"Hysterothylacium aduncum","Coregonus nasus","Coregonus nasus","Coregonus","Coregonus nasus"
"Hysterothylacium aduncum","Coryphaenoides rupestris","Coryphaenoides rupestris","Coryphaenoides","Coryphaenoides rupestris"
"Hysterothylacium aduncum","Cottunculus microps","Cottunculus microps","Cottunculus","Cottunculus microps"
"Hysterothylacium aduncum","Cottus nazawae","Cottus nazawae","Cottus","Cottus nozawae"
"Hysterothylacium aduncum","Crangon septemspinosa","Crangon septemspinosa","Crangon","Crangon septemspinosa"
"Hysterothylacium aduncum","Crangon vulgaris","Crangon vulgaris","Crangon","Crangon crangon"
"Hysterothylacium aduncum","Crenilabrus melops","Crenilabrus melops","Crenilabrus","Symphodus melops"
