"Parasite.species","n_lcdb","n_pubmed_spname","n_pubmed_spname_group"
"Nematodirus helvetianus",2,100,100
"Nematodirus spathiger",9,105,105
"Nematoparataenia southwelli",3,0,0
"Neocamallanus ophiocephali",3,0,0
"Neocamallanus singhi",2,0,0
"Neoctenotaenia ctenoides",5,0,0
"Neoechinorhynchus cristatus",3,2,2
"Neoechinorhynchus cylindratus",7,6,5
"Neoechinorhynchus emydis",3,4,4
"Neoechinorhynchus rutili",7,21,16
"Neoechinorhynchus saginatus",3,1,1
"Neogryporhynchus cheilancristrotus",7,8,8
"Neoskrjabinolepis schaldybini",7,0,0
"Neostrongylus linearis",9,33,26
"Nesolecithus africanus",2,0,0
"Nippotaenia mogurndae",4,5,4
"Nybelinia surmenicola",8,4,4
"Obeliscoides cuniculi cuniculi",6,0,0
"Obeliscoides cuniculi multistriatus",3,0,0
"Octospinifer macilentis",1,0,0
"Octospiniferoides chandleri",2,2,1
"Oesophagostomum asperum",1,6,3
"Oesophagostomum bifurcum",3,47,18
"Oesophagostomum columbianum",7,112,71
"Oesophagostomum dentatum",8,189,86
"Oesophagostomum kansuensis",1,0,0
"Oesophagostomum quadrispinulatum",3,30,9
"Oesophagostomum radiatum",6,175,139
"Oesophagostomum venulosum",4,90,80
"Ohbayashinema erbaevae",2,3,3
"Oligacanthorhynchus tortuosa",2,2,2
"Ollulanus tricuspis",3,30,21
"Onchobothrium antarcticum",2,1,1
"Onchocamallanus bagarii",2,0,0
"Oncicola pomatostomi",2,0,0
"Oncicola venezuelensis",3,5,5
"Oochoristica anolis",2,1,1
"Oochoristica javaensis",9,6,5
"Oochoristica osheroffi",5,3,3
"Oochoristica scelopori",7,2,2
"Oochoristica vacuolata",4,0,0
"Ophidascaris baylisi",1,0,0
"Ophidascaris labiatopapillosa",3,0,0
"Ophidascaris moreliae",1,0,0
"Ophidascaris pyrrhus",1,0,0
"Ophidascaris trichuriformis",2,0,0
"Ophiotaenia europaea",8,3,1
"Ophiotaenia filaroides",1,1,1
"Ophiotaenia gracilis",3,0,0
"Ophiotaenia monnigi",2,0,0
"Ophiotaenia perspicua",5,0,0
"Ophiotaenia ranae",1,0,0
"Ophiotaenia saphena",4,0,0
"Ophryocotyle insignis",3,0,0
"Ophryocotyle proteus",5,0,0
"Ornithostrongylus quadriradiatus",2,2,2
"Oslerus osleri",3,21,12
"Oslerus rostratus",6,11,9
"Ostertagia ostertagi",9,1756,1105
"Oswaldocruzia filiformis",3,19,19
"Otostrongylus circumlitus",6,14,11
"Oxyspirura mansoni",4,3,2
"Oxyuris equi",4,89,48
"Pallisentis nagpurensis",3,0,0
"Parabisaccanthes philactes",3,0,0
"Paracamallanus cyathopharynx",3,8,8
"Paracamallanus sweeti",2,0,0
"Paracapillaria philippinensis",7,997,578
"Parachristianella monomegacantha",6,3,3
"Paracuaria adunca",11,8,8
"Paradilepis caballeroi",2,4,4
"Paradilepis scolecina",8,5,5
"Parafilaroides decorus",3,4,4
"Parafilaroides gymnurus",2,6,6
"Paranoplocephala macrocephala",7,3,3
"Paranoplocephala omphalodes",3,4,4
"Paraorygmatobothrium sp. 2",1,0,0
"Paraorygmatobothrium sp. 3",1,0,0
"Paraquimperia tenerrima",3,4,4
"Parascaris equorum",4,252,131
"Parasciurotaenia ryjikovi",2,0,0
"Paraspiralatus sakeri",2,0,0
"Paratenuisentis ambiguus",4,21,21
"Parelaphostrongylus andersoni",5,15,14
"Parelaphostrongylus odocoilei",11,18,15
"Parelaphostrongylus tenuis",8,100,64
"Paricterotaenia paradoxa",3,0,0
"Paricterotaenia porosa",5,2,2
"Paruterina candelabraria",9,3,3
"Paruterina rauschi",2,0,0
"Parvitaenia cochlearii",4,6,4
"Passalurus ambiguus",4,45,32
"Passerilepis serpentulus",5,0,0
"Passerilepis stylosa",4,0,0
"Paulisentis fractus",1,0,0
"Paulisentis missouriensis",2,2,1
"Pearsonema mucronata",1,0,0
"Pearsonema plica",7,15,13
