"Host","Parasite","ParasiteFull"
"Sus scrofa meridionalis","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Syncerus caffer caffer","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Tenebrio molitor","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Tenturia gigas","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Tettigonia sp.","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Ursus americanus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Crocidura russula","Gongylonema soricis","Gongylonema soricis Fain, 1955"
"Sorex araneus","Gongylonema soricis","Gongylonema soricis Fain, 1955"
"(Mammals) ","Graphidium strigosum","Graphidium strigosum (Dujardin, 1845)"
"Herpestes ichneumon","Graphidium strigosum","Graphidium strigosum (Dujardin, 1845)"
"Lepus capensis","Graphidium strigosum","Graphidium strigosum (Dujardin, 1845)"
"Lepus europaeus","Graphidium strigosum","Graphidium strigosum (Dujardin, 1845)"
"Lepus granatensis","Graphidium strigosum","Graphidium strigosum (Dujardin, 1845)"
"Lepus timidus","Graphidium strigosum","Graphidium strigosum (Dujardin, 1845)"
"Oryctolagus cuniculus","Graphidium strigosum","Graphidium strigosum (Dujardin, 1845)"
"Oryctolagus cuniculus algiricus","Graphidium strigosum","Graphidium strigosum (Dujardin, 1845)"
"Vulpes vulpes silacea","Graphidium strigosum","Graphidium strigosum (Dujardin, 1845)"
"(Elasmobranchs) ","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Acanthocottus aeneus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Acartia clausi","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Ammodytes americanus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Anarhichas lupus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Anguilla chrysypa","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Arius ","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Arnoglossus laterna","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Belone belone","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Boops boops","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Bothus maculatus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Centrophorus squamosus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Centropristis striata","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Clupea harengus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Coelorhinchus fasciatus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Conger conger","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Conger orbignyanus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Cottus bubalis","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
