"Parasite.species","Host.species","best_host_name"
"Acanthocephalus lucii","Salmo trutta m. fario","Salmo trutta"
"Acanthocephalus lucii","Salvelinus alpinus","Salvelinus alpinus"
"Acanthocephalus lucii","Scardinius erythrophthalmus","Scardinius erythrophthalmus"
"Acanthocephalus lucii","Silurus glanis","Silurus glanis"
"Acanthocephalus lucii","Stenodus leucichthys nelma","Stenodus leucichthys"
"Acanthocephalus lucii","Stizostedion lucioperca","Sander lucioperca"
"Acanthocephalus lucii","Stizostedion volgensis","Sander volgensis"
"Acanthocephalus lucii","Thymallus thymallus","Thymallus thymallus"
"Acanthocephalus lucii","Tilapia nilotica","Tilapia nilotica"
"Acanthocephalus lucii","Tinca tinca","Tinca tinca"
"Acanthocephalus lucii","Umbra krameri","Umbra krameri"
"Acanthocephalus lucii","Vimba vimba","Vimba vimba"
"Acanthocephalus ranae","Anas platyrhynchos","Anas platyrhynchos"
"Acanthocephalus ranae","Anguis fragilis","Anguis fragilis"
"Acanthocephalus ranae","Bombina bombina","Bombina bombina"
"Acanthocephalus ranae","Bombina variegata","Bombina variegata"
"Acanthocephalus ranae","Bufo sp.","Bufo sp."
"Acanthocephalus ranae","Bufo bufo","Bufo bufo"
"Acanthocephalus ranae","Bufo calamita","Epidalea calamita"
"Acanthocephalus ranae","Bufo viridis","Pseudepidalea viridis"
"Acanthocephalus ranae","Larus argentatus","Larus argentatus"
"Acanthocephalus ranae","Lutra lutra","Lutra lutra"
"Acanthocephalus ranae","Natrix natrix","Natrix natrix"
"Acanthocephalus ranae","Notophthalmus viridescens","Notophthalmus viridescens"
"Acanthocephalus ranae","Rana arvalis","Rana arvalis"
"Acanthocephalus ranae","Rana dalmatina","Rana dalmatina"
"Acanthocephalus ranae","Rana esculenta","Rana esculenta"
"Acanthocephalus ranae","Rana lessonae","Pelophylax lessonae"
"Acanthocephalus ranae","Rana ridibunda","Pelophylax ridibundus"
"Acanthocephalus ranae","Rana spinosa","Quasipaa spinosa"
"Acanthocephalus ranae","Rana temporaria","Rana temporaria"
"Acanthocephalus ranae","Triturus alpestris","Ichthyosaura alpestris"
"Acanthocephalus ranae","Vipera berus","Vipera berus"
