"Parasite.species","hosts_missing_tax_lcdb","hosts_missing_tax_comb","hsi_lcdb","var.hsi_lcdb","hsi_comb","var.hsi_comb"
"Dracunculus medinensis",0,0,4.47222222222222,3.30478395061728,3.79233870967742,4.30566711108221
"Dracunculus oesophagea",0,0,6,0,6,0
"Dracunculus ophidensis",0,0,4.66666666666667,3.55555555555556,3.83333333333333,4.80555555555556
"Drepanidotaenia bisacculina",0,0,6,0,6,0
"Drepanidotaenia lanceolata",0,1,3.6,4.22095238095238,4.49475890985325,3.05500397751495
"Duplicibothrium minutum",0,0,4.8,1.56,4.86666666666667,2.38222222222222
"Echinobothrium affine",0,0,4,4.8,4,4.8
"Echinobothrium benedeni",0,0,6,0,6,0
"Echinobothrium chisholmae",0,0,6,0,6,0
"Echinobothrium lateroporum",0,0,5.5,1.25,5.5,1.25
"Echinobothrium reesae",0,0,4.66666666666667,3.55555555555556,4.66666666666667,3.55555555555556
"Echinobothrium typus",0,0,4.52380952380952,2.53514739229025,4.52380952380952,2.53514739229025
"Echinocephalus overstreeti",0,0,4.67857142857143,1.50382653061224,4.37777777777778,1.79061728395062
